title,price,location,area,bedrooms,bathrooms
"Chalet for sale, fully finished, one room, with a 5% down payment, 10-year installments, EGP 300,000 down payment, EGP 150,000 installments every 3 mo",6000000,"SOLARE, Ras Al Hekma, North Coast, Matruh",75 Sq. M.,1,2
"Senior chalet at the lowest price in the market, fully furnished, ready to move in Hacienda Bay, Sidi Abdel Rahman.",18000000,"Hacienda Bay, Sidi Abdel Rahman, North Coast, Matruh",220 Sq. M.,4,4
"A 130-meter chalet, a great deal, directly on the swimming pool in Marassi, is for sale for only 22.5 million in Marina Residence 2",22500000,"Marassi, Sidi Abdel Rahman, North Coast, Matruh",130 Sq. M.,2,2
Ready-to-Move Apartments for Sale at Downtown Alamein - 160 sqm,4900000,"Downtown Marina, Alamein, North Coast, Matruh",159 Sq. M.,2,2
Launch Price Own Luxury Fully Finished 2BR Chalet In With Panoramic Sea View In New Gouna 0%DP Over 8Y,11000000,"Makadi Heights, Hurghada, Red Sea",135 Sq. M.,2,3
"**77 sqm Apartment for Sale | Best Phase | Prime Location | Installments | O West Compound, 6th of October City",7305000,"O West Compound, 6th of October, Giza",77 Sq. M.,1,1
شقة للبيع الحى الثامن فيلات,5000000,"8th District, Shorouk City, Cairo",230 Sq. M.,3,2
Ready To Move Apartment In Sodic With 0% Downpayment Only For The First Time! Sodic East Town - Vilette - Sodic Villete,18500000,"Villette Compound, 5th Settlement, New Cairo, Cairo",190 Sq. M.,3,3
Apartment for Sale in Youth Housing – El Shorouk City | Prime Location,1200000,"Shorouk City, Cairo",82 Sq. M.,3,1
For Sale Chalet With Lagoon & Golf View Fully Finished Prime Location 5% Down Payment in Mesca Red Sea - Soma Bay.,15000000,"Mesca, Soma Bay, Red Sea",150 Sq. M.,3,3
"For Sale Lagoon Senior Chalet in The Med Fully Finished Directly on Widest Lagoon, Near Delivery.",15600000,"The Med, Ras Al Hekma, North Coast, Matruh",170 Sq. M.,3,3
Sea View Penthouse And Fully Finished In Mangroovy Red Sea With Installment 5 Years.,25000000,"Mangroovy, Gouna, Red Sea",175 Sq. M.,3,2
LIMITED OFFER!! FULLY FINISHED SEA VIEW CHALET FOR SALE WITH LOWEST PRICE IN RAS ELHEKMA .,14200000,"The Med, Ras Al Hekma, North Coast, Matruh",152 Sq. M.,2,2
EXCLUSIVE NEAR DELIVERY UNITS 10% DP ONLY_7YEARS!! APT FOR SALE IN DISTRICT 5-MARAZEZ-5TH SETTLEMENT -NEW CAIRO -90 STREET -AUC-SUEZ ROAD,17300000,"District 5 Compound, 5th Settlement, New Cairo, Cairo",200 Sq. M.,3,3
Chalet For Sale With Lowest And First Price In Silver Sands With Ora 5% Down payment and rest Installments over 8 years,7000000,"Silver Sands, North Coast, Matruh",60 Sq. M.,1,1
chalet ground floor fully finished 3 bed in la vista bay North Coast,27800000,"La Vista Bay East, North Coast, Matruh",150 Sq. M.,3,3
Fully Finished Townhouse corner for resale at Belle Vie under market price delivery 2027,13000000,"Belle Vie Compound, Sheikh Zayed, Giza",204 Sq. M.,3,3
Studio for Sale in Noor City – Ground Floor with Garden – on 13-Year Installments,3580000,"Noor City, New Capital City, Cairo",63 Sq. M.,,1
Limited Time Offer Own Finished 1st Row 2BR Chalet Panoramic Sea+Lagoon View In Somabay With Only 5%DP,13000000,"Soma Bay, Red Sea",135 Sq. M.,2,3
Unique Sky Villa with Private Pool on the Roof & First Row Lagoon for Sale at The Med Ras El Hekma,14000000,"The Med, Ras Al Hekma, North Coast, Matruh",280 Sq. M.,4,4
Townhouse for Sale at Almaza Bay Ras Soma | Direct Lagoon View | 300m from the Sandy Beach,25500000,"Ras Soma, Red Sea",148 Sq. M.,3,4
Apartment for Resale – Ready to Move in at ZED West Towers (G+10) – Sheikh Zayed,9537275,"ZED West Compound, Sheikh Zayed, Giza",133 Sq. M.,3,2
"LAST FIRST ROW VILLA 4BED WITH POOL IN REDSEA, 0% DOWN PAYMENT , ORASCOM",33600000,"Gouna, Red Sea",300 Sq. M.,4,5
Ready to Move Townhouse in Direction White | Garden Included Premium Townhouse in Direction White | Immediate Delivery,25500000,"Direction White, Ras Al Hekma, North Coast, Matruh",180 Sq. M.,3,3
Apartment for Sale in Zayed Heights Compound | 237 SQM | Ready to Move | Prime Location,7000000,"Zayed Heights, Sheikh Zayed, Giza",237 Sq. M.,4,3
apartment fully finished 10% DP over 7Y in New Cairo,23100000,"EL Patio ORO Compound, 5th Settlement, New Cairo, Cairo",219 Sq. M.,3,3
Resale Duplex At Zed east With Garden at 5th settlement With old price,17924000,"Zed East Compound, 6th Settlement, New Cairo, Cairo",248 Sq. M.,4,4
